"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78"
"CbMPDiCbraya","Management","Pre","HeS",0,0,3.48708548439331e-05,0,0,0,0,0,0,0.00188336961262861,7.36887807411221e-06,7.44637677921865e-06,4.97751293759584e-05,0,8.04438995546417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426935795606457,0,0,0,0,0,0,0,0.000146484876835132,0,0,0,0,0,0,0,0,0,0,0,3.05377619774381e-05,0,3.23376261290289e-05,4.93392285024261e-06,0,0,0.000304184604624877,4.87755607740077e-07,0,0,0,0,0,0,0,0,5.80613582879335e-06,0,0,0,0,0.0046653077368124,0
"CbMPDiCbraya","Management","Pre","HoS",0.000148211220857365,0,0.000632944390181096,0.00026201263073457,0.000235101709152342,4.05979706156077e-05,0,0.0399896623001975,0,0,9.05019733861837e-07,4.42856003589088e-05,9.92765024142197e-06,5.11069043052842e-05,0,0,0.00675094375924369,0.000313375401305511,0,3.55232575842155e-06,0,7.85227792559326e-06,2.87303312456278e-05,0,0.000347463651440347,0.000233716057626993,0.000415100282107207,0,0.000200918635483765,0.000789842245854726,0.00320743090278414,0,3.91084922464756e-05,0,0.00528265907039786,0.000892826277697188,0.0532192255667459,0,0.00372238914671039,0.040174121404902,2.04664681502243e-06,1.62703689324346e-06,0.000514976646803326,0.00104013119158447,2.66998972476983e-06,0.00264750312906369,3.70549420226361e-05,0,3.63565999393182e-05,0.0329007218578505,9.15076344010053e-06,0.000307102810307006,1.5357686653343e-05,8.229932785109e-05,2.5204178200544e-06,0.000143050634768177,0.00103329613384877,3.99574343737789e-05,3.22941893963948e-05,0,1.22616008709199e-06,1.82096139998402e-05,0,0.000167386326193329,0,7.29245476586689e-06,0,0.0048261715846682,0.000111486859266933,0.000350054735604788,0,0,0.028259999697402,0,0,0,0.0182197890361961,2.45746073633899e-05
"CbMPDiCbraya","Management","Pre","DL",0.000214367924785242,0,0.000736865434779746,0.000241857744735186,0.00469820380082072,0.000560365234150138,0.00487391695673673,0.0420459569391406,0,0.0032448821852851,0,0,0,0,0,0.0322635768022457,0.000711456586472944,0.0019887782600839,6.61132300636207e-05,0.000726978288140528,0,0,0,0,0.00349487102476299,0.00478768510807873,0.0069932667366029,0.00645256839980744,0.000117537746192401,0.00223486600238405,0,0,0,0.000104183811416717,0.00045757087103343,0.00409370787039486,0,0.00103691978539609,0.00208549142502057,0.027829567020647,0,0,0.00126855609650963,0.00171498718347626,0,0,0.0714798406080027,0.0477274192972945,0,0.00708238979478211,0.0121023556745112,0.00767007013884884,1.64980609545347e-05,0,0,0,0.00685399668424189,0.000105709188879262,0,0,0,0,0,0.000287513277575239,0,0,0,0.00535697266670015,0.000624142145577427,0,7.20976666529474e-05,0.000811325059581174,0.00385619210332891,0,0.00018791990397002,0.00019391118398663,0.00815135169617729,0.000179166514890546
"CbMPDiCbraya","Management","Pre","HD",0,0.000735319072121713,0,0,0,0,0,0.000926112229493693,0.0001730005110919,4.33719793257082e-06,2.97643629196678e-05,0.000182530503556897,0,1.00277937585475e-05,0.000393334218532362,0.000372431728977288,0.00013618609878324,0,0.000178193792390262,0,0.00293149357709761,3.3831673889729e-07,3.72524038457333e-06,0.000373707497216068,0,2.13587135574901e-06,8.49862226916014e-06,0.00109450278366054,8.03715287598456e-07,6.3060675010804e-05,0.000382259118178652,0.00118670831809728,0.000471646508754894,4.71607134943733e-05,0,0,0,0.000851680753826709,1.79606443323206e-05,2.13110701900631e-05,1.94338302587645e-06,9.16846185395524e-06,9.43309588686777e-06,0.000106290040677456,0.00012359287948775,0.000815626612343116,0.000240834542091319,0.000630160442413145,1.0134489733511e-05,0,2.94004201377201e-05,0,6.24503240719927e-06,1.93325566978227e-05,0,6.59707090058187e-05,0,0,1.77253058069709e-05,3.86370019329e-06,7.86715707377002e-07,0.000236622360128936,3.52812088753409e-07,0,0.00104604209867406,0.000321690621924849,0.0010006864474718,6.34414942622733e-05,2.84228490527228e-06,0.00167213707435286,0,3.61239717580746e-06,0,6.51785248839653e-05,5.09880051582791e-06,2.09208390421319e-05,0,3.10265699134111e-07
"CbMPDiCbraya","Management","Pre","DR",0.00128188141590206,0.00932174791936072,0.000476363064521951,0.00116377262813584,0.0010602320179268,0.000389291277333632,0.00311234965649004,0.0112966847237026,0.000416971494348601,0.00230778529093809,5.05448100722838e-06,0.000201990490852055,0.000274743628893366,0.000154023784588097,0.00309093384737667,0.0131797273527639,0.00280053396049199,0.00175721883400608,0.00233696874366516,0.000284898764011866,0.00473262652196686,7.67849752555167e-05,0.000107175704676049,0.00121289300490213,0.000789231885393946,0.00439581733855762,0.00106266593187635,0.158263016633073,0.000458037794636873,0.00065360199294018,0.00130588071113602,0.00691844339688964,0.00268060635061259,0.00261372842337178,0.00224667377980738,0.00026923293148866,0.0141197145959037,0.0323010989518113,0.000151573207581592,0.00995263083587963,0.000349814451801455,0.000933932709843512,0.000218564550926913,0.000176879778820383,0.000126970931606871,0.00467513154480258,0.0136892632583873,0.0135520650285374,0.000274607957861677,0.00462539644981776,0.00123881857818381,0.0181566859609246,0.00013364803743163,0.000174615752294306,4.17982948749863e-05,0.000256740886585915,0.00459961007765605,0.000441886957754301,3.75353567124128e-05,4.39692426790136e-05,2.11162953975025e-05,0.00202359925097332,9.74034120242549e-05,6.07974441573108e-05,0.0029042667740879,0,0.00396615912247629,0.00106771025487795,8.31953048473408e-05,0.0129334333438081,0.00110376515800391,9.36476832309943e-05,0.00970215403826968,0.000708460418475146,0.000104978864724868,0.000546354251444807,0.000996840752843169,0.000123317291524743
"CbMPDiCbraya","Management","In","HeS",0,0,1.9855781416508e-05,0,0,0,0.000373214756306706,0,0,0,8.5162614008341e-06,0,1.85430128844654e-05,2.42723832983811e-06,0,0,0.00119945478276289,0,0,2.83940436840243e-05,0,0,0,0,0,0,0,0,0,0,0,0.00780008002798992,0,0,0,1.12880473136889e-05,0,0,0,0,0,0,0,0.00118034557117737,0,0,0,3.65930502375552e-05,0,0.000427413922652306,6.24880120821e-06,0,1.24901482626552e-06,0,0,0,0,0,0,0,0,0,2.85279573982503e-06,5.79896966158916e-06,0,2.91442547347756e-06,0,0,0,0,8.22177483726256e-05,1.02639605658339e-05,0,0,0,9.39234324141578e-06,0,9.38964086720583e-06
"CbMPDiCbraya","Management","In","HoS",0.00113855609261381,0,0.000123538644171783,5.00684729479357e-05,9.66216590133981e-05,2.19576429229272e-06,0.00014285172727383,0,0,1.83205944623874e-05,7.78043416815588e-06,1.26155742864747e-05,1.76073388785174e-05,3.26499364515575e-05,0.000139960919660655,0.000794954425153877,0.00294104106439959,2.39406793663237e-05,0,0,0.00781137698712116,5.18315372266079e-07,4.93768752714276e-06,0,0,3.15559352517294e-05,0,0.0367619001096405,6.82150059441524e-07,0.000196750714589173,0.00757201821147735,0.000432710205457219,0.000484577423961042,0.000439781121331505,0.00182845549511794,2.13108198686742e-05,0.0268332781977321,0,1.01884650494517e-05,0.0327794787124043,0.00141612662616126,0.000594240115762741,0.000122572239707336,0,0.000214305581744056,0.0437376103514199,0.0021277826782273,0.000107095886804923,6.34579415922008e-07,0.000847395522717366,0.000154480076711575,0.00133626192725089,1.44355524194911e-06,8.12057088858301e-05,2.92529295132593e-06,3.63352859445835e-05,0.0115818700022926,9.00349884635827e-06,2.61615947823813e-05,0,6.46601754043038e-07,6.01791453135455e-06,0.00101849843888206,1.2513380216418e-05,0,4.83368101196322e-05,0.00244866992674962,0.00188841296831388,4.04464120771574e-07,0.0061647828125334,0.000420560401537745,1.35219431455909e-05,0,0,0,8.58819155742728e-05,0.000178517425513597,4.09958128092305e-05
"CbMPDiCbraya","Management","In","DL",0.00560218413183515,0.0059950789967398,0.000135254533520102,0.000219607083582958,0.00189839478277173,0.000790150593244497,0.00123629832316284,0.0568720390528093,0,0.0016152773399207,0,0,0,0,0.0683351239280667,0.0071733206500637,0.00506178808963449,0.00675494460412127,0.0060599522057589,0.000588462813380716,0.000626091276461544,0,0.00015855939046557,0,0,0.00618850712266523,0,0.0246856750323384,0,0,0,0.00297656631073938,0,0.00334312733990772,0.000963498180920647,0,0.0366256066729972,0,0,0.00421885132596126,0.00192988477217665,0.00259704660527848,0.000116781340437187,0.00148888235399849,0.000159844773306852,0.005485737092031,0.0661059521098301,0,0,0,0,0,1.9832194056348e-05,0,4.04475592997146e-06,0,0,0,0.000171983866104383,0,0,0,0.000203728483545564,7.39957645828774e-05,0.0259135305252931,0.00365356262115412,0.00776174168236199,0,0,0.0421421437976323,7.4194094307358e-05,0.000117846786706491,0.0126410626823744,0.0010204180248574,0,0.00192333234073718,0,0.000189598273890724
"CbMPDiCbraya","Management","In","HD",0,0.000189046368205289,3.1007944621453e-06,6.39148006218734e-06,0,0,1.28021256593874e-05,0.00111913809569244,0.000213662967463338,4.97011141854135e-05,1.24538697907213e-05,0.000153201731941598,0,4.48621209971453e-06,0.00018504628254788,1.54154398913086e-05,2.1625632803427e-05,2.25283722930118e-06,1.91086726871972e-05,0,0.00119550214079275,1.15931301739199e-06,4.12911031464326e-06,0.00032823755106855,0,0,5.46831693097141e-05,6.0005235174604e-05,3.8960586613608e-06,3.69254840556427e-05,0,0.000528336290200197,0.000675468471877861,3.10783556649893e-05,1.9410666116026e-05,3.73287332557463e-06,0,0.000693621199815291,2.16291997362422e-05,0,0,8.6129321386264e-06,1.66797728117457e-06,9.77684628895759e-05,2.19570923202332e-05,0.000256985868391224,0.000286063621141561,0.000491826919873105,1.82020690906751e-05,1.31569175203522e-05,4.02432656551518e-05,1.26365155305278e-05,1.04024499850205e-06,1.68320369883307e-05,3.03856793508647e-07,9.00690212404599e-05,0,7.98711196508296e-07,6.27302331606513e-06,0,0,0.000564166757719917,1.51928396754323e-07,1.77720793308387e-06,0.000445025443843665,0.000112682039546706,0.000466152907486872,5.4035907275018e-05,7.45186092001011e-06,4.54323671790437e-05,2.66514517956565e-05,8.20242266755909e-08,0.000829225890583733,1.80506437876693e-05,4.90171285225331e-06,1.13249615636683e-05,0,9.56609635940474e-07
"CbMPDiCbraya","Management","In","DR",0.000400281254829723,0.0190037503935612,0.000302980897824538,0.000429109473787813,0.00141187043642623,9.93817740526859e-05,0.00172594003970288,0.0236688623423396,0.00105657198773117,0.00191970957462502,0.000117156422204823,0.000192077061739769,0.000126625821450421,0.000103558999344908,0.00241813647592099,0.0143996794821673,0.00028615340918178,0.00071089116620044,0.00113472232461652,0.000196603942101213,0.00787857645707602,4.40733134825182e-05,3.37481741066548e-05,0.00141368179468536,0.000407534100743707,0.00268426958554329,0.000607419785860641,0.164574671989157,0.0004973705785618,0.00124022199438722,0.00603206146907754,0.0028686661470523,0.00329842140746016,0.00082548575271624,0.00356694043835399,0.000300383501326118,0.00764934336945491,0.023440020446373,2.64116435443635e-05,0.00511660534976466,0.000268368892728259,0.000716466154956987,0.000488359290724222,0.00110536189100774,8.20595021423228e-05,0.00114060841286885,0.0123426818005479,0.00153539190538261,5.97676393154005e-05,0.00217755144626617,0.000340376401699209,0.0021699356265394,0.000135180486011275,0.000664471253696399,3.04092172066085e-05,0.000229389463376157,0,0.000100501362256079,0.000197774445808553,0.000591569586917568,2.82710129100494e-05,0.000262566872139997,5.20147096280976e-05,7.47488265143275e-05,0.00502269316173006,0.000120697456140344,0.00380552765951187,0.00271654435424806,7.10956146299147e-05,0.0155552711987863,0.000265448353337827,0.000150438529233963,0.00328820041345439,0.00238199472769099,9.89646618859573e-05,0.000370254379676848,0.000817488406033563,8.0433171947968e-05
"CbMPDiCbraya","Management","Post","HeS",0,3.8399220416814e-05,9.72934376033302e-05,4.9704811912378e-05,4.29343019311849e-06,0,0,0,0,0,3.35635086174913e-05,0,0.000803868312790878,1.97584119845604e-05,0,7.405777134037e-05,9.71531133065712e-05,0,0,7.53018882206361e-06,0,0,9.52823955482495e-05,0,2.00953626892605e-05,0,0,0,1.3468868634276e-06,0,0,0,0,0,2.79078682051174e-05,7.20057541414278e-05,0,0.0025127226043392,0,0.000781226100037339,0,1.11384001484071e-05,4.0773199659369e-06,0,0,0,0,0.000123740305610028,0,0,0,0,1.82466574669566e-05,0,1.43560944954048e-05,0,0.000142996785323354,6.5385969570202e-06,0.000164233418420152,0.000676702847323746,2.30894890873302e-06,0,1.48859313738526e-06,5.43642662124921e-06,0,0,0,0,4.05575828086212e-05,0.00151104398882783,0,4.37052430994884e-06,1.55326474892834e-06,0,0,0,6.47056743618253e-05,0
"CbMPDiCbraya","Management","Post","HoS",8.62405227903405e-05,0.0231185353455814,0,6.66104653078159e-06,5.62718785042396e-05,0,1.36048100218552e-06,0.000508746575209982,0,0.000999783982532271,0.00245710576613606,0,0.000823435087027825,0.00019512220149395,0,0.00010092430574986,0.00310245968735262,6.84665404391892e-05,0,2.01486942267748e-05,0,9.62657156706779e-06,0.000252023636163203,0.00544674838495497,4.25552578566798e-05,0,3.17494513433952e-05,0.0027849041038164,0.000219950945258369,0.00080507489123781,0.00477680784679192,0.0285459272467414,0,8.61690266201565e-05,0.000140252058032594,7.05442445738346e-06,0.0267259487636087,8.48171025205522e-07,0.000106108353761711,0.0040539061037136,2.97146570718173e-06,0,0.00010989935654406,0.00201288060034864,0.000623410709804979,0.0436014898642017,0.0119677329414473,0.000419969428642847,0.000132776648491577,0,0,0.00366176910157311,3.171884737752e-05,0.000145321566882314,3.42679823493363e-05,0.0012907626293091,0.00241633471210288,7.74545643380242e-05,0.00037421521697028,0.00409710587640137,6.64021404351082e-06,0.0362142370771434,8.60528033492986e-06,8.66208570121925e-05,0.0110930580297926,0.00128505189426361,0.0213937207675369,0.00757844983064151,5.95777720032948e-05,0,0.000177554403220798,0.000130612775852332,0.000321197491491617,0.0116404140462611,3.92023841652079e-06,0.000226539843750809,3.18255653493429e-06,0
"CbMPDiCbraya","Management","Post","DL",0,0.0277843313567026,0.000973648173709911,0.0010777760449975,0,0.000153678787338771,0,0.0261373265952407,0.0108832857159964,0.00376056871217611,0.00297401601086091,0.00770604627623474,0.00380540261046371,0.00285437683488181,0,0,0.000291541481650372,0,0.00210746468919635,0,0.0443460586170741,0.00110135813570723,0.00151980251148401,0.0263635871299142,0.00112769916240502,0.000579741354880219,0,0,0.00193245497918276,0.000216745902892106,0.0319332528626104,0.00680718212077432,0.0116662992004688,0,0,0.00150693873827382,0.00792597225778329,0.00788018951925063,0,0.0034204654168731,0,2.47973167316289e-05,0.000131102978987381,0.000482682416472502,0.000843931917006064,0.0463564992927572,0,0.0144131266355707,0.00184189276087064,0,0.00040420558522092,0.006124609841885,0.000520439329346551,0.0135043166753224,0.000278859148744927,0.00271418105375275,0.0025650853674237,7.88102667175825e-05,0.000785888081801458,0.00841626516267386,0.000509701983403573,0.13221962036334,4.86558605593853e-05,0.000239537042081845,0.00111942199334244,0.00190443893199714,0.037416803864343,0.0036133625534305,0.000120699057336376,0.00306382206612299,0.00160151444125283,0.000101727312664776,0,0.00243768859869799,0.00036714296891554,0.000113833493659663,0,8.34680936255426e-05
"CbMPDiCbraya","Management","Post","HD",8.89402512604858e-06,7.38379582629509e-05,2.50208432979013e-05,1.16111006298268e-05,0.000214151806253576,4.47232311783176e-07,0.000189598335439552,0.00244889611853946,0,1.68972702877843e-05,0,0,0,0,0.0010026439972288,0.000319272673709214,4.02075609694212e-05,7.44931360383327e-05,5.50165908511038e-05,2.48356092730995e-05,0.000347562344515243,0,0,0,6.2222016257034e-07,3.92087196982086e-05,3.63776953907411e-05,0.0026467473185649,1.75356539610116e-05,4.1630212164789e-05,0,0,0,4.88326558964587e-05,0.000288338210921079,4.46184968367406e-07,0.000387222193204147,0.000183811581525268,5.18046555401218e-06,0.000113218591444909,1.68446196853293e-06,0,4.88274644984363e-06,0.000191694384397772,0,0,0.000193348530957382,5.00134987431841e-05,0,2.14596795908048e-05,1.61812106023777e-05,0.000113200706626311,1.00157848769661e-06,0,0,0,2.58188019058014e-05,1.96846904962082e-06,0,1.14892505409633e-06,0,0.00012444615334159,5.36678774139811e-07,1.17326025709512e-06,0.000203599414763066,0,0.000271517950506043,0,1.38708676867995e-05,0.00215323819877276,0,2.59921744204695e-06,0.0010815908531843,1.93245694103885e-05,9.84708656219302e-08,8.4610085721027e-06,2.66971393469386e-05,1.19579524634302e-06
"CbMPDiCbraya","Management","Post","DR",0.00045705713781541,0,0.000250152806699371,0.000311823843987281,9.25620777933341e-06,0.00021064455851219,7.8324377500226e-07,0.00772595658919366,0.00274687611239305,0.00164021275624985,0.000106099633861829,0.00057833124974701,7.63105379331022e-05,8.03372875069075e-05,0.00411614475043291,0,0.000884588457918697,0.0002753610516458,0.000725874705569437,4.77669211584242e-05,0.00877277959685691,0.000110859460581669,4.74100208836748e-05,0.00425666497857661,0.000569956583167189,0.00212383252112082,5.79245726244583e-05,0.0301804878785176,5.2586185520744e-05,0.000496029076695693,0.013604873847248,0.000782092940995268,0.0069370740396367,0.000442882825726196,0.000284208889044169,0.000703625295244964,0.00399181916567361,0.00487298244987594,0.000855078225696218,0.00493788093805041,0.000131079813650348,0.000936645543129533,0.00032926083194995,0.000433807470092393,0.000200889864830669,0.0170986274408916,0.00179529843659486,0.0135744720236613,0.000307194850088031,0.00542295433074546,0.00230907804753127,0.0038095553329137,9.74564828231523e-05,0.00516422122801843,2.75838400098508e-05,0.00057139847833494,0.00380867715795928,0.000100249606224192,0.000122413171024688,0.000164450798025662,5.28274256643947e-05,0.00793205026696147,9.20728685649786e-05,4.2283517792888e-05,0.00234007784342091,0.00130327746186848,0.00550811820188932,0.00216969895613759,0.00022951254491491,0.00542918214718666,0.000550651749506,0.000141862907718792,0.000839597467115934,0.000430978268861044,6.35822866983595e-05,0.000483036679962575,0.000715435156147592,0.0001270710733293
"CbMPDiCbraya","Management","Pre_vs_In","HeS",0,0.000417359456947788,3.79076413885516e-05,0,0,4.53064499215155e-05,0.000173684410610058,0,0,0.00031922156778772,1.44274692841466e-05,2.37614916513999e-06,3.44587219112604e-05,1.11248423450913e-06,0,0,0.000127491627622735,0,0,2.36538653772831e-05,0,0,0,0,0.000273359848925765,0.000100192398351251,0,0,0,0,0,0.00226495302462282,0,0,0,0.000196596431626514,0,0,0,0,0,6.33377562482089e-05,0,0.00100173066229958,0,0,0,0,0,0.003421601493394,0.00101936387353034,0,5.37675315950494e-07,0,0,1.23247403491563e-05,0,9.53594318009652e-06,1.17589236344765e-06,0,3.10085593779632e-07,2.53641524282571e-05,1.55796922294929e-06,2.58823523527927e-05,5.87260058782692e-05,0,0,0,0,0,5.71553736374415e-05,5.05526606160081e-06,0,0,6.74348529234875e-07,0,0,3.24891356330443e-06
