"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43","bin44","bin45","bin46","bin47","bin48","bin49","bin50","bin51","bin52","bin53","bin54","bin55","bin56","bin57","bin58","bin59","bin60","bin61","bin62","bin63","bin64","bin65","bin66","bin67","bin68","bin69","bin70","bin71","bin72","bin73","bin74","bin75","bin76","bin77","bin78","bin79","bin80","bin81","bin82","bin83","bin84","bin85","bin86","bin87","bin88","bin89","bin90","bin91","bin92"
"CbMPDiCbraya","Management","Pre","HeS",0,0,0,0,0,0.0344429119607257,0,0,0,0.0763617807401021,0,0,0,0,0.00766502972194153,0,0,0.0953447967395338,0,0.16085631496369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123990311112831,0,0,0,0,0,0,0,0,0,0.0103332852566122,0,0,0,0,0,0,0,0,0.231129498444101,0.0607168465469317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00626238046346454,0,0,0,0.0210831566133057,0,0,0,0,0,0,0,0.0185966431436397,0.264808324294669,0,0,0,0,0,0
"CbMPDiCbraya","Management","Pre","HoS",0.00200065343688463,0,0.000231109689698205,0,0,0,0.000189180812137678,0.000102437421414057,0.000545375819865815,0,6.33503119678708e-05,0.00243913004106434,0.00745022835135283,0.000443168355895293,8.36250704911061e-05,0,0,0.000489695815608372,0.000532524191032271,0,2.79796104446375e-05,0,8.36493341680509e-05,0.00772778474612329,0.0193007477542129,5.48357590228702e-05,0,0.000708937484352058,0,0,0.0167768072746973,0.00596367845549961,0.00387226574990245,0.040478443052537,0,0,7.40741141909537e-07,0.00683865849970807,0.000349630085227126,0.0257977939569032,7.84003525103058e-05,0,0.0525065172319755,0.00912231792695892,0.00174939866254242,0.000167605188041242,0.000596730031950206,0.000677534722236648,0.0419652111423097,0.00441342003028674,8.77278190941954e-06,3.30390656014883e-06,4.3164644468849e-07,0.000382933906267801,8.43510073594296e-06,6.44176183276305e-05,0.0163626244628193,0.0036568066911114,0.000601050496514766,0.0655802443743915,0,0,0.00124149373181832,0.00201458917696212,0.00010344284348592,0.291109938660497,0.00282794832756362,5.75620938854641e-05,0.000103057219218597,6.07308201261439e-05,0.0036930694100465,0,3.40992009575068e-05,7.38188701659041e-05,0.000159660456744385,0,3.11716228443301e-05,0.0217181607069228,0.274657753806615,2.14718485765727e-05,0.0522913319436494,0.0086406836902174,0,1.05489533975756e-05,0,2.92923433311666e-05,0.000206276933777154,0.000128546006650174,3.48341044073884e-05,0,0.000120071928118934,0.000131857204773707
"CbMPDiCbraya","Management","Pre","DL",0.0114594463115696,0.149383804528823,0.0123456304028098,0.0164631928785576,0,0.00106043940354133,0,0,0.000525656519927861,0,0,0,0,0,0,0.0903862393360112,0.00475009812949479,0.0053346593080298,0.0044405271187138,0,0.00108700560541048,2.74173118936195e-05,0,0.0125357427856843,0.0060540877529935,0.000537624817537863,0.0297771463972164,0,0.0118554862655444,0.010094733849463,0,0,0,0,0.0241398579365902,0,0,0.0257594129296343,0.00125406675949445,0.0294592560754023,0,0.11396118003176,0,0,0.0906091629752162,0,0,0.00952933983243939,0,0.0087669446513904,0.000848938335586381,2.1556491212026e-05,2.90467765706947e-05,0.012444496014827,0.000496943993860725,0,0,0.0167908053630973,0.00356777356919012,0,0,0,0,0,0,0,0.0120620503889121,0.00189408286534953,0.00162449736171336,0.000363919445073908,0,0.00320380251873488,8.37088926533556e-05,0,0,0.0197704429662471,0,0,0,0.00287339397580094,0.218809681498556,0,0.0080398314522703,0,0.000461342515912098,0.000800002625699761,0,0.000268461948907379,0.00124138978023847,0.0219711788499713,0.000235380047980571,0.000499112406484334
"CbMPDiCbraya","Management","Pre","HD",0.00456574601471067,0.0426426600673246,0.00110331911067648,0.0295480773959269,0,6.74438901785843e-05,0.00845722246046844,0.00706712271666853,0.00322485862424895,0.00401347387995024,0.0378067075919476,0.0148578270442627,0.0263432258686323,0.0140954590615932,0.00913331216916976,0.00363255971454803,0,0,0.00020309095383555,0.00100226709078215,0,0.000150708687146124,0.0011560683679352,0,0,0,0.00338503358293809,0.010195194263552,0,0.00398966488622374,0,0.021412156192721,0.117725413408745,0.0530384519930854,0,0.00199645346525947,0.00048565831785059,0,0.000141912607689249,0.0117021732061579,0.00797330724814807,0.0759115468635949,0,0,0.0273905733305627,0.000159542703648719,0.0359043581291138,6.19612344486061e-05,0.0010508677328853,0.00700533101064151,8.41013217557187e-05,0.000683867866267845,0.00106788845957601,0.0116276147779282,0.0008617031754752,0.000917185920828293,0.0485755946925573,0,0.0159127326076139,0,0,0.134156247062022,0.00713658470212754,0,0.0825272063608117,0,0,0,8.94112565358348e-05,4.58327495904307e-05,0,0.000872449821084003,0.000813399940348741,0.00090197545711894,0.0018492489374695,0,0.000327601278273502,0,0,0.00683325258137583,0.0750606803570274,0,0,0.0166825025334481,0.000243655344631194,0,0.0039342240229101,0,0,0,0.000194287885950352,0
"CbMPDiCbraya","Management","Pre","DR",0.00301349943847308,0.0199916476593173,0.00464133278147238,0.0708875237908578,0.0396527191258998,0.000479929704940629,3.22740471396293e-05,6.98454297044138e-05,0.00045278575834286,0,0,0,0.00910835194354226,0.000539606212128833,3.53379590058867e-05,0.0162406234560062,0.0112302240424599,0.000751938718690365,0.00100107921637137,0.00363264031203566,0.00299157747319555,0.000648683104677156,0.000578682340307252,0.0293219984687986,0,0.00152986973547318,0.00451281484740114,0.00234481307008163,0.0108599328891274,0.0182467349617709,0,0.0389743385836494,0.00505424886234706,0.010688728211069,0.00982842629400376,4.07756989726461e-05,0,0.00868793544776257,0.000819786785887127,0.0165226422936568,0.00222850660419346,0.0526886525234489,0.0558214283141048,0,0.0137491522013113,0.000303168356900505,0.011201387391367,0.0011292092833974,0.00226858628281293,0.00466484651988989,0.000325681388844267,0.000297940510411609,0.000591375004840633,0.0233961712145395,0.000421999012130392,0.00389293442794825,0.0080032522549769,0.00335185395030276,0.0320422847172219,0,0.203933495428464,0.0274585320781456,0.00413636331082246,0,0.00291938410149564,0.0183771340695966,0.00447765949365262,7.61025444820699e-05,0.000805209618007515,0.000460948422106907,0.000175647792087847,0.00108686198938767,0.000474057600740311,0.000312889015402793,0.00142798173832208,0.0279311914017512,0.00081759930774326,0.00140850642711925,0,0.000840941391578465,0.0988171837916363,0,0.00524623653880124,0.00999737425171535,0.000476874851671286,0.000293119375421899,0.00715992603472163,0.000317165164328351,0.000183646808201129,0.0200478416036835,0.000373601404620107,0.000174745821081458
"CbMPDiCbraya","Management","In","HeS",0,0.397083865807387,0.0273822492710137,0,0,0,0,0,0,0.00837209177968548,0,0,0,0.00258645084419988,0,0,0,0.00134134725052374,0.00787853154146497,0.0201992509004263,0,0,0,0,0,0,0,0,0.00144428616288772,0,0,0,0,0,0,0.00504690222910749,0.00156328054862657,0,0.00183458566219554,0.0623463952907017,0,0,0,0,0.0828321782885169,0.00338259027518618,0,0.00167096780134198,0.283235325676603,0,0,0,0,0,0.00147980725869678,0,0,0,0,0,0.00104880830142994,0,0,0,0.0737152996118993,0,0.00183397160748248,8.65391215258443e-05,0.000119313233434613,0.00319911104305423,0,0,0.000926621114237052,0.000802381201604289,0,0,0,0,0,0,0,0,0.00434136852037352,0,0.00409214412818187,0,0.000154335528211431,0,0,0,0,0
"CbMPDiCbraya","Management","In","HoS",0.00386882631427746,0,0.000824853405981736,0.00081928629961256,0,1.73321682489999e-05,0.00196107740107118,0.000815209575458713,0.00273211388771386,0.00105646896928002,0.0962815656461545,0.0779507133792301,0.0687973340592385,0.000172966957376508,1.96349818354775e-05,0.000401456534087502,1.86238089179046e-05,0.000204022615439838,0.000239228420969206,0,1.6731227686792e-06,0,7.54516710164681e-06,0.00982383074762772,0.000836334671641694,2.21708632023333e-05,0.000181509428733008,0.00753116386467368,0,0.00302532404144779,0.0582785487801137,0.00300160806365993,0.0125743580843286,0.00604881139335395,1.1136608597967e-06,0.00109619798175572,0.000672885638290555,0.00141233993809749,5.9743820331104e-06,0.00583343361443589,0.000170198162191634,0.00351982302185241,0.0280851051594073,0.00854366057720791,0.000307290231390067,0.00194528831467724,0.0234989018709263,5.24489143797686e-05,0.0656027921591489,0.0126574085732392,0,0,0,0.00132004110795144,1.6731227686792e-06,7.05393682123275e-05,0.0902368128542076,6.65389393155605e-05,0.00110546101333521,0.0266062144332114,3.49430126451729e-05,0.00442378562323491,0.00678688641134898,0.113728180255865,0.00349941231450972,0.0376119103762631,4.56495880662325e-06,3.28997505585965e-05,0.000136186823341411,0.000114065382239135,0.0213302251282605,7.74885989709363e-07,7.74885989709363e-07,3.61830814597287e-05,8.36561384339602e-07,0,0.000600124222831202,0.00862739675386694,0.114761100814759,5.97585644826442e-05,0.0404100000564326,0.0128412052598448,0.00105691656407857,0.000150100610183905,0.000303023620949146,0,0.00293588163143256,2.19435092903831e-05,4.74402432568842e-05,0,0.000107913504651395,9.82949960070306e-06
"CbMPDiCbraya","Management","In","DL",0.00291953526395861,0.0274660656853204,0.00127616118657567,0.0116655103542273,0.0120155233761068,0.00119002558486991,0.000743031360413539,0.00103259790684506,0,0.00495936491920081,0.384293375303131,0.037134988463968,0.0388652361318844,0,0,0,0,0.000363658125228519,0.00070710723995218,0,0,0,0,0.025612841607624,0,0.00207332255640058,0,0.00102474090642981,0,0.00193585027825724,0.0114365010112603,0.00345271365805637,0.0205283558622031,0,0.00326017769174637,0.00223603035574958,0.00113504585055742,0.00669650557881369,0,0.0209229480994498,0.00394006380145977,0,0,0,0,0.037507215438522,0.00580543175391203,0,0.0590237151783765,0.000998611922790627,0.000459974738078065,0.00147908224456731,0.00179489430471733,0.00295636966521849,0.00120496184469285,0.00491349333732729,0.0538452126207182,0,0,0,0,0.00132420165881415,0.00392383962081045,0,0.0106114222246067,0,0,0,0,0.000370151739797822,0,0,0,0.0030513730412211,6.42435019551003e-05,0,0.00266334443161965,0,0.16515248869854,0,0,0.00190049729645102,0.00458750008919845,0,0.000448251430906339,0.00125043018560087,0.00133946773779962,0.000848263892835431,0.000771863207146061,0,0.00227823513993893,0.000538184894146873
"CbMPDiCbraya","Management","In","HD",0.00695708077163031,0.0178164160825358,0.00473696105377197,0.0123121060970146,0.0177378524272966,0.00084782564236438,0.00135122507213783,0.0042583711044355,0.000433773916979246,0.00170442510586703,0.0817682920859585,0,0.0126689727143422,0.0140499731903938,0.00631259973060051,0.0220711104446232,0.00737977609744366,0.00383389790400714,0.00478299118854813,0.00497635582787684,0.00552201884826018,0.00109319157562757,0.00155011091840371,0.0337893892805554,0.00660666518934066,0.00145129958462233,0.00807374432884386,0.000824019627085824,0.00235300320928316,0.00436200131055911,0,0.0485429183521918,0.0314149809292674,0.0475593344973559,0.00932028997058787,0.000299969488603996,0.00152339008861838,0.00738626140406904,0.00048090840899087,0.0180737831689021,0.00422777999351635,0.060795474541642,0,0,0.0270583027578372,0.0010084545247257,0.0179308400960806,0.000915703288646181,0.00974327340978438,0.000359582503445785,0.000442981526688047,0.00117758639274366,0.00210299637792008,0.0181747872092833,0.00167628740758887,0.00998954199703224,0.0350710031172597,0.00737315642076937,0.0114417595157625,0.0116159271977164,0.0151291942204062,0.0256856612992273,0.00235956436129549,0,0.0187500099768896,0.0445258273675707,0.00523276338042312,0.00106380612430137,0.00151591672319675,0.000277104227088679,0,0.00393702621609529,0.000916456071882401,0.00134295295827719,0.00145042587214373,0.00248228939168181,0.000467388107136895,0.00739728318333975,0.117742746429465,0.0058113736099995,0.0395915884220051,0.00111061989534306,0.00431893789999979,0.0100308456022204,0.00106614110766052,0.000904582534788838,0.00585566450716464,0.000674675710803889,0.000626641285719028,0.00163887803688212,0.000351229134348505,0.000409681425205167
"CbMPDiCbraya","Management","In","DR",0,0.000982321211050018,0.000566506161350522,0.0449189252598009,0.0533248887046725,0.000741193551488104,0.00146070428799088,0.00319473489945477,1.30660214589456e-05,0.000117616028480558,0.0381423279771466,0.0213240304139413,0.160707681230359,0.00265115361876606,0,0.00146178794090318,0.00298627559133158,0.00121270871343737,0.00138378670678188,0.00183147142756244,0.000201585735526069,6.4754872488238e-05,0.000995338473210948,0.0342453800738088,0.00902890572004293,0.000740744091399176,0.00193635791493899,0.00150966264189345,0.00764038304779328,0.0155750918620191,0.00841605897469536,0.0393914450232994,0.0203200679052346,0.00543370251780028,0.0128049921580901,0.000404518714215429,0.000464939439886311,0.00934253666604993,0.00130837243773581,0.0247469591999375,0.000709153282285959,0.0244381363838042,0,0.00104390995255401,0.00949542181198033,0.00256187636969201,0.00922585750909251,0.00302465373146765,0.00225114696576596,0.00286726150985401,0.000557935709671942,0.000207076833559731,5.23757586804237e-06,0.0140614536627402,5.71955115124559e-05,0.0236258741642211,0.0212245462119181,0.003241215422336,0.00501787875599373,0.00201996810748263,0.0115582040679111,0.0054359817914939,0.0120099538699757,0.00569413699632154,0.0262028014515279,0.0307504867141308,0.00263064778202495,0.000803196757688215,0.00191246083295866,0.00084217713226619,0,0,0.00119611347810282,0.000853793713064513,0.0020662244962269,0.00474596186094145,0.000803333057195037,0,0.216979238322583,0.00262062251974026,0.00573408266259374,0.00167832228340991,0.00126731280103919,0.00133539699631734,0.000309381859360937,0.000477529222919906,0.00212713329107672,0,0.0002626091805398,0.00175884692241635,0.000367964455720613,0.000347308792609349
"CbMPDiCbraya","Management","Post","HeS",0,0.025447931384149,0,0,0,0,0.115986738088877,0,0.0213514232185746,0,0,0,0,0,0,0.0292674231508827,0,0,0.00894496312052262,0,0.00836008454600284,0,0.00192370474511865,0,0.00259149144819726,0,0,0.0864355925596619,0.00795527607353578,0,0,0,0,0,0.00206289226194528,0.00226201538098482,0,0,0.0200586834785738,0,0,0,0.0266958599505869,0.0166699547818737,0.0565139612692357,0.181273159213217,0,0.0257861784157502,0,0,0,0,0.00500478120812126,0,0,0,0,0.0166337590628475,0,0.231468582714073,0,0,0,0,0,0.0316866929009434,0.00863545768941346,0.00723027169861853,0,0.00338575341242756,0,0.0217189203714152,0,0,0,0,0.0166940313440586,0,0,0,0,0.0115738861066326,0.00330799605450905,0,0.00104130261099597,0,0,0,0.0020312317382543,0,0,0
"CbMPDiCbraya","Management","Post","HoS",0.00226357183711098,2.41957014126919e-05,0.00959126766092149,0.00869609325444744,0,7.6265569327833e-07,0.00880552545128114,0.000608272588220906,0.00248986493055535,5.53766033258565e-05,0.00390431198995024,0.106636215926317,0.144819394564969,0.0119563749064566,0.000996739632439178,0.00125551267162965,2.15812058974597e-06,8.32439320769483e-05,0.000844695120418619,0.00450556429633588,0.000578610321284536,0.000285167108063005,0.000165608520516601,0.00416138402329348,0.000359993177539515,0,0.000710446985278167,0.0107290502693034,8.97643220867395e-05,0,0.122363003724314,0.0112764520095132,0.0294303663107513,0.000336450444972848,0.000118992209695467,6.09532148044978e-05,2.23432298066331e-05,0.00106447344580979,7.71534366695829e-05,0.0041383356459786,0.000647205657768427,0.00339972548458039,0.000321278366120527,0.00400860182346701,3.36228270232118e-05,0.00216057200892888,0.0534359924379658,0.0062779471587929,1.2136573582665e-05,0.0225449727627395,6.22255343675892e-05,4.63760774351978e-05,0.00036572549002062,0.0190604791391055,2.24741678211313e-06,0.0241617392194179,0.133167880919022,0.000114020079038446,5.95146473201547e-06,0.00805003566784155,0.000183383377790078,0.00355367248730284,0.0053789776212937,0.093902215076971,0.00650034692495324,0.00323056576717911,0.00145448002222758,2.82633778548432e-05,0,0.000287908975921859,0.0553926926384434,0,0,0.000609437011662445,0.00120080010093222,0.000381383359949895,0.00156482753859585,0.00413629594541323,0.000577054532941723,0.0118195543598994,0.00427408645836733,0.00253424243600368,0.000354421537412407,0.0163344061376609,0,0,0.0148671836974154,6.63278608232326e-06,3.96986738620386e-05,1.04280129817032e-06,0,0
"CbMPDiCbraya","Management","Post","DL",0.0143522097978695,0,0.00408881652638091,0.00420446974183591,0,0,0.00730913024102863,0.0106267368909837,0.00027414068083695,0,0.176878274286565,0,0.0867818191475991,0.00168981825017761,0.00520648823132533,0,0,0.000161992428460166,0.00139695156687469,0.00252970525996997,0.00488422089776799,0.00116196766434855,0.00147407178193991,0,0,0,0,0.00353613062944476,0,0,0,0.007183995932526,0.00603686485988137,0.247004163678642,0,0.000582140182069962,1.04882201726196e-05,0,0.00158009604315747,0,0.00725318381096899,0,0,0,0,0.00176505306736433,0.0122574974396398,0.00402125056090274,0,0,0.000353514452742652,0.000498227211985351,0.000417065663428158,0,0.000979779376384979,0.0315547173218493,0.156134526898071,0.000197698147230396,0.00227888558639786,0,0.030843400423603,0.0344979933976836,0.0110331828665403,0.00866470940706837,0.0521357368761627,0,0,4.92828825484782e-05,0.000319351868047605,5.05687742266876e-05,0.0260260020523526,0.00174171726164333,0.00149213254688241,0.00104476277442193,0.0011223130424366,0.00238476188930158,0.000588382920897466,0.00722046952856885,0,0.00187939560464956,0,0,0,0.00182236901278451,0,0,0.0104061187175881,1.12556757689126e-05,0,0,0,0
"CbMPDiCbraya","Management","Post","HD",0.0150930261423392,0.0621861277327804,0.0029506680884872,0.00224309495344444,0.00514174246459375,0.00162535010796029,0.000224059006130939,0,0.00061302439139042,0.00619598224564762,0.0833252893361517,0.0236858165773365,0.0211852915528674,0.00793033062187785,0.000409523562978298,0.0187084492299661,0.00290500738309311,0.00382136649674071,0.000996085502848028,0.00117746615671071,0.000303166109532878,0,1.81253286388374e-05,0.0155981028972768,0.011133701265034,0.00134735023833395,0.00537816468200328,0.000674399269046911,0.00540158375288467,0.0346897205472868,0.01395334311388,0,0.00421032643096899,0.0413022909905501,0.012412405860151,0.00134871212957904,0.00269463086498893,0.0134761931401893,0.000717626779472853,0.0344225618361316,0.00173121811923002,0.055539962263481,0.00678294877007569,3.85781004269897e-05,0.0488716373204562,0.000558780346002457,0.0142821825593921,0.000112982623091125,0.016567085325751,0,0.000338586040165538,0.000644882743038985,0.000994194175785018,0.00614079772107429,0.00103446893958801,0.000580684975553371,0.0448286366506387,0.00705121084856207,0.00621119774857495,0.0712369025271493,1.79967270178314e-05,0.00247699937322264,0.0013985014363562,0,0.0403328914176923,0.0175361842790934,0.00191544618692728,0.000670973396803368,0.00165117943269961,8.48703299018978e-05,0.00449494108578378,0.00303843872416717,0,0,0.00314140101331059,0.000238992339430953,4.04530301419415e-05,0.0234407367452147,0.0408711926814283,0,0.0964572919460716,0.011601046735599,0.0011471199264381,0.000831970569846056,0.00149542002739251,0.000790338648571388,0.000571586304599583,0.000408956473758158,0.00082889580910188,0.000614537356757578,0.000548487374339014,0.000306106041001689
"CbMPDiCbraya","Management","Post","DR",0.000950481027607625,0.00402970586864604,0.0030632792430784,0.0163398904709738,9.55554929328372e-06,0.000162505129970692,0.00159324318671515,0.00481948435149099,0.000600474471632171,0.000521857014356314,0.236964559407609,0.00158281810668507,0.131471651317725,0.000185607922844106,0.00135734972320674,0.00181936541872662,0.00546036615979588,0.00121930712875135,0.00143818608355276,0.00149002407236078,0.000637332568711027,0.000215691103476299,0.000624262984079112,0.0029991883972277,0.0021125883955783,0.000909878255558616,0.00295971747824728,0.000739010761584041,0.000498545486295201,0.00320146334920621,0.00174636567887491,0.0547651821068492,0.00713211840315427,0.082116767952774,0.00123669283642684,0.00156540994190703,0.000345131106306256,0.000996191148801276,0.00019779692264361,0.0044755573871139,0.00308144187109723,0.0181044326162608,0.000329101020925289,0,0.00981510097134253,0.000553517837550362,0.0094379109137956,0.00188596899342523,0.00607602712356925,0,0.000195877483540825,0.000171629535837959,0.000132389035036283,0.0014309683624255,0.000308930371884693,0.0244536511567189,0.032794932914377,0.00291072900891781,0.0170275943600293,0.0190638195543123,0.0994927664599156,0.0238291431889926,0.0110923343906602,0.0262258775928613,0.0268839653649621,0.0140305077576792,0.0008114522701584,0.000334308382990499,0.000848078064066519,0.000178555406251796,0.011584732934826,0.000503941434172578,0.000497723219622337,0.000668393777712184,0.000217806464259496,0.00461969033086758,0.000516269799864822,0.0143411575830164,0.0127696786065621,0.00183080452224818,0.000571889865408141,0.000980642417579355,0.00332982307017789,0.00620846941109305,0.000106545955019575,1.58524658049585e-05,0.00472132505317862,0.000362471896635058,4.92938942177797e-05,0,0,4.78713683114434e-05
"CbMPDiCbraya","Management","Pre_vs_In","HeS",0,0.443819184753259,0.0261449122387575,0,0,0.00610199138767615,0,0,0,0.0187147985830699,0,0,0,0.00714532405071593,0,0,0,0.00147760681239449,0,0.0234483886040545,0,0,0.000167367216539554,0.0246542974803511,0,0,0,0,0.00137538332623375,0,0,0,0,0,0,0.00585693150279941,0.00208529428694428,0,0.00514441213332166,0.0968337013966334,0,0,0,0,0.162359550454923,0.000619216688026521,0,0.00445788136092087,0.0980303493672798,0,0,0,0,0,0.00612126839092138,0.00036531298969781,0,0,0,0,0,0,0,0,0.00135257227743017,0,0.0328330471446917,0.000764892114952558,0,0.00373305779593706,0,0,0.000738287819365835,0.000112752940593034,0.000849560490603702,0,0.0014043909634619,0,0,0.000199436868622,0,0,0.000295452714524287,0,0.00309185522083533,0.00500831428224449,0,0.00197272299405257,0.00102710689688704,0.0116933764512784,0,0
